frame_idx,sim_time,x,y,z,vx,vy,vz,pitch,yaw,roll,ax,ay,az
1,19.280803877860308,225.31356811523438,-364.12939453125,0.2915680706501007,0.0,0.0,-1.9800068140029907,0.0,0.20475485920906067,0.0,0.0,0.0,-9.800003051757812
2,19.323238875716925,225.31356811523438,-364.12939453125,0.19695793092250824,0.0,0.0,-2.3958699703216553,0.0,0.20475485920906067,0.0,0.0,0.0,-9.800005912780762
3,19.36803937703371,225.31356811523438,-364.12939453125,0.0777883529663086,0.0,0.0,-2.8349146842956543,0.0,0.20475485920906067,0.0,0.0,0.0,-9.799956321716309
4,19.438883375376463,225.31356811523438,-364.12939453125,-0.03551982715725899,-2.08322916250836e-07,-1.7999770989263197e-06,-0.810249924659729,0.0,0.20475485920906067,0.0,8.651859388919547e-06,0.00020054496417287737,26.954877853393555
5,19.474304378032684,225.31356811523438,-364.12939453125,-0.05252666398882866,-1.0246472470498702e-07,-6.086209509703622e-07,-0.31610506772994995,0.0,0.20475485920906067,0.0,2.51117398875067e-06,3.0798175430390984e-05,12.936017036437988
6,19.523114375770092,225.31356811523438,-364.12939453125,-0.056822966784238815,-1.3667064813205343e-08,-1.2131275184401602e-07,0.03741356357932091,0.0,0.20475485920906067,0.0,1.4556435417034663e-06,6.740136996086221e-06,5.073466777801514
7,19.579010475426912,225.31356811523438,-364.12939453125,-0.04927989840507507,-1.5560226440669567e-09,1.1080088313519809e-07,0.18006804585456848,0.0,0.20475485920906067,0.0,1.6567067007144942e-07,-2.5557853859936586e-06,2.2739219665527344
8,19.622556775808334,225.31356811523438,-364.12939453125,-0.040699269622564316,-1.1125099952380424e-08,-4.991191016046059e-09,0.20247435569763184,0.0,0.20475485920906067,0.0,-9.917652050717152e-07,-4.4380908548191655e-06,0.34998613595962524
9,19.67332187667489,225.31605529785156,-364.12939453125,-0.030825233086943626,0.2506560981273651,-0.00018210311827715486,0.18567121028900146,0.0036678113974630833,0.20424075424671173,0.0,25.388513565063477,-0.02592572011053562,-0.545314610004425
10,19.741578977555037,225.37803649902344,-364.1293640136719,-0.020097464323043823,1.3913989067077637,-0.0011432839091867208,0.14066562056541443,0.050270188599824905,0.19538913667201996,0.0007097704219631851,15.886995315551758,-0.016264740377664566,-0.6832835674285889
11,19.782109774649143,225.44769287109375,-364.1293029785156,-0.015233802609145641,1.908113956451416,-0.0018939687870442867,0.11302538961172104,0.07619758695363998,0.18473732471466064,0.0010702806757763028,12.262934684753418,-0.019486280158162117,-0.6911808848381042
12,19.819528978317976,225.52793884277344,-364.1293640136719,-0.011590346693992615,2.2858285903930664,-0.0025971918366849422,0.09090611338615417,0.09165430068969727,0.17289431393146515,0.00127807492390275,9.830328941345215,-0.01982283592224121,-0.6320874094963074
13,19.877375777810812,225.67665100097656,-364.12945556640625,-0.007381515111774206,2.754262924194336,-0.0035268962383270264,0.06311256438493729,0.10188592970371246,0.15167702734470367,0.0014190073125064373,7.277960777282715,2.8316806492512114e-05,-0.4220498502254486
14,19.968389876186848,225.9461212158203,-364.129638671875,-0.0031385421752929688,3.035198211669922,-0.005242587067186832,0.03369447588920593,0.08931154757738113,0.115846648812294,0.0013020813930779696,1.5985809564590454,-0.020363520830869675,-0.298481822013855
15,19.983609475195408,225.9922637939453,-364.1296691894531,-0.002611961215734482,3.030911445617676,-0.005526878871023655,0.031686678528785706,0.08423671871423721,0.10980021953582764,0.0012666246620938182,-0.28166088461875916,-0.01867932267487049,-0.13192182779312134
16,20.043854378163815,226.17071533203125,-364.12982177734375,-0.0010316848056390882,2.8957083225250244,-0.005215000826865435,0.018906792625784874,0.05904015153646469,0.0883251503109932,0.0009250760194845498,-2.9877610206604004,0.0006691836751997471,-0.19730426371097565
17,20.080617778003216,226.27442932128906,-364.1299133300781,-0.000344505300745368,2.774085521697998,-0.005493422504514456,0.014356975443661213,0.042511094361543655,0.07624727487564087,0.000761688977945596,-3.558509111404419,-0.00201624003238976,-0.13642056286334991
18,20.122773177921772,226.38755798339844,-364.13018798828125,0.0002921295235864818,2.62597918510437,-0.008320254273712635,0.011175126768648624,0.025025811046361923,0.060342852026224136,0.0008977062534540892,-3.110947370529175,-0.06029416248202324,-0.06603701412677765
19,20.186968877911568,226.54656982421875,-364.1305847167969,0.0009206390241160989,2.3677687644958496,-0.0076693338342010975,0.0062172506004571915,0.0026706038042902946,0.03759957104921341,0.0006941019091755152,-4.114614486694336,0.023817652836441994,-0.05859619379043579
20,20.218746777623892,226.61932373046875,-364.13079833984375,0.0011776351602748036,2.240081548690796,-0.007530844770371914,0.005583152640610933,-0.006229132413864136,0.027919722720980644,0.0005301888450048864,-4.248331546783447,0.011502349749207497,-0.09415089339017868
21,20.274970676749945,226.73809814453125,-364.13104248046875,0.0014790724962949753,2.021536111831665,-0.0066091809421777725,0.0020147417671978474,-0.018707886338233948,0.013454553671181202,0.00020242866594344378,-3.856473684310913,0.01100703701376915,-0.13986238837242126
22,20.332232177257538,226.8247833251953,-364.1312561035156,0.001752395648509264,0.9383594989776611,-0.0029221943113952875,0.0012423514854162931,-0.05090539529919624,0.004629239439964294,-0.00036621090839616954,-21.38111114501953,0.06955624371767044,-0.029244856908917427
23,20.37669987604022,226.83895874023438,-364.1312561035156,0.0021258925553411245,0.006070518400520086,-3.684867260744795e-05,0.0015520667657256126,-0.09460494667291641,0.0034643143881112337,-0.0008850098238326609,-19.07168960571289,0.06057027354836464,-0.10772266238927841
24,20.421621676534414,226.83888244628906,-364.1312561035156,0.0022439956665039062,-5.819301077281125e-05,5.121983576827915e-06,0.0023407076951116323,-0.10396913439035416,0.0034653719048947096,-0.0009460448054596782,-0.007279358338564634,0.0006912688259035349,0.3078918159008026
25,20.486253477633,226.83901977539062,-364.1312561035156,0.0021102142054587603,-0.00025717582320794463,1.8081320376950316e-05,-0.0005253314739093184,-0.08446894586086273,0.003462710417807102,-0.0007629393949173391,-0.002202356234192848,0.00011445803829701617,-0.04433819651603699
26,20.518509674817324,226.839111328125,-364.1312561035156,0.0020908736623823643,-0.0002539913111831993,1.5677882402087562e-05,0.0013519858475774527,-0.07244781404733658,0.003461031476035714,-0.0006408691988326609,0.00010566828859737143,-6.05307322985027e-05,-0.02005149982869625
27,20.578201077878475,226.83924865722656,-364.1312561035156,0.00205059046857059,-0.00020811853755731136,1.1481449291750323e-05,0.001143984729424119,-0.052524153143167496,0.0034584710374474525,-0.00048828122089616954,0.0008892483310773969,-6.270705489441752e-05,-0.00827834103256464
28,20.62857297807932,226.83935546875,-364.1312561035156,0.0019641495309770107,-0.0001630684273550287,8.87702208274277e-06,0.00012572288687806576,-0.03924626484513283,0.003457122715190053,-0.000396728515625,0.0009598622564226389,-5.659688395098783e-05,0.0418495237827301
29,20.670889977365732,226.83941650390625,-364.1312561035156,0.0019509505946189165,-0.0001278897689189762,6.706859949190402e-06,0.0016376685816794634,-0.03058558516204357,0.003456232836470008,-0.00030517569393850863,0.0009399763075634837,-7.94923907960765e-05,0.20556335151195526
30,20.72966357693076,226.83949279785156,-364.1312561035156,0.0018572997068986297,-9.255769691662863e-05,4.911601990897907e-06,-0.0007339096046052873,-0.021453622728586197,0.0034554831217974424,-0.00024414061044808477,0.0005972835933789611,-3.32939816871658e-05,-0.02127540484070778
31,20.768407177180052,226.83950805664062,-364.1312561035156,0.0018404769944027066,-7.193964120233431e-05,3.884278157784138e-06,0.0023922394029796124,-0.017000339925289154,0.003455130849033594,-0.00021362303232308477,0.000708894687704742,-3.423594534979202e-05,0.4814065098762512
32,20.830631878226995,226.8395233154297,-364.1312561035156,0.0018094253027811646,-4.229802652844228e-05,2.804998302963213e-06,-0.00025661467225290835,-0.014377547428011894,0.003454924328252673,-0.00018310546875,-0.000421292323153466,3.997479871031828e-05,-0.003870825981721282
33,20.868221774697304,226.83953857421875,-364.1312561035156,0.0018335724016651511,-4.2260828195139766e-05,6.701757797600294e-07,0.0020490549504756927,-0.012055283412337303,0.0034548055846244097,-0.00015258787607308477,0.00015177267778199166,-0.000334887154167518,0.25298991799354553
34,20.928770676255226,226.83956909179688,-364.1312561035156,0.0017949294997379184,-3.5041226510657e-05,7.05687668300925e-08,9.677886555436999e-05,-0.008667510002851486,0.003455033991485834,-0.00012207030522404239,0.00015270861331373453,-1.920518116094172e-06,0.03206640109419823
35,20.96816987544298,226.83958435058594,-364.1312561035156,0.0017928695306181908,-2.8314443625276908e-05,7.574266902565796e-08,0.0025342702865600586,-0.006898490712046623,0.003455156460404396,-0.00012207030522404239,0.00027385837165638804,-8.28597603685921e-06,0.5312210917472839
36,21.032565478235483,226.839599609375,-364.1312561035156,0.0017333602299913764,-2.0341856725281104e-05,5.281222925646034e-08,-0.0004068469861522317,-0.004699169658124447,0.003455315250903368,-9.1552734375e-05,0.00013154720363672823,-9.807074548007222e-07,0.013197929598391056
37,21.068286076188087,226.8408966064453,-364.1312561035156,0.0017715072026476264,0.059083256870508194,-0.00012265314580872655,0.0019570589065551758,-0.0023222642485052347,0.003236996941268444,-9.1552734375e-05,-0.9871231317520142,0.013374539092183113,0.1370321661233902
38,21.1268362775445,226.84957885742188,-364.13116455078125,0.0017162322765216231,0.24546051025390625,0.00033832615008577704,-0.0001294898975174874,0.005177283193916082,-0.011260985396802425,-9.1552734375e-05,4.072996139526367,0.005631617736071348,0.0038079731166362762
39,21.17680737748742,226.86734008789062,-364.1311950683594,0.0016960143111646175,0.46177607774734497,-0.000659237033687532,0.0015406799502670765,0.014862490817904472,-0.00445556640625,0.0,4.339568138122559,-0.0060949781909585,0.1390942633152008
40,21.22990047559142,226.8998260498047,-364.1312561035156,0.001576652517542243,0.6847891211509705,-0.0022060079500079155,-0.0008255672291852534,0.0258181132376194,-0.003631591796875,0.00019215985957998782,3.8876798152923584,-0.028132004663348198,-0.005692112725228071
41,21.28029777482152,226.94309997558594,-364.13134765625,0.001565055805258453,0.9768994450569153,-0.0028248263988643885,0.0006021881126798689,0.034758832305669785,-0.009521483443677425,0.0003291794564574957,4.812254428863525,0.001934062223881483,-0.11380176991224289
42,21.333596475422382,227.00440979003906,-364.131591796875,0.0014653396792709827,1.2844452857971191,-0.0035887935664504766,-0.0004222774296067655,0.04381566122174263,-0.010040282271802425,0.00028733734507113695,5.852752685546875,-0.01398121751844883,0.040710464119911194
43,21.3687445782125,227.05430603027344,-364.13177490234375,0.0014518738025799394,1.4850714206695557,-0.004246447701007128,-0.0002843761467374861,0.04963498190045357,-0.010345458984375,0.0003791950293816626,5.069344997406006,-0.008857348002493382,-0.11921310424804688
44,21.419564478099346,227.1396484375,-364.13201904296875,0.0014381026849150658,1.8172392845153809,-0.005528756882995367,0.0003110933175776154,0.05666324496269226,-0.01788330078125,0.0004588060255628079,6.155826091766357,-0.0183554757386446,0.028376504778862
45,21.472542576491833,227.24563598632812,-364.13226318359375,0.0013810729142278433,2.1142194271087646,-0.006865452975034714,-0.0012759971432387829,0.06218203902244568,-0.02679443359375,0.000536227656994015,4.249662399291992,-0.007845642976462841,-0.052275579422712326
46,21.536017075181007,227.39254760742188,-364.1327209472656,0.0013077163603156805,2.4655215740203857,-0.008658145554363728,-0.0006870173965580761,0.06496192514896393,-0.0411071740090847,0.0006265300908125937,5.493610858917236,-0.029012393206357956,-0.002269512740895152
47,21.567561276257038,227.47462463378906,-364.13299560546875,0.0013195037608966231,2.6797378063201904,-0.009172951802611351,0.0004080486251041293,0.06702464073896408,-0.0486144982278347,0.0006288542062975466,6.66841983795166,-0.02047657035291195,-0.0575413852930069
48,21.622082974761724,227.63134765625,-364.1334533691406,0.0013279723934829235,3.016937732696533,-0.010347660630941391,0.00012578963651321828,0.07037826627492905,-0.0621337816119194,0.000630877329967916,6.0728535652160645,-0.01592540368437767,-0.06301052123308182
49,21.67209967598319,227.7908935546875,-364.1339111328125,0.0013100052019581199,3.311905860900879,-0.01172972097992897,0.00011080741387559101,0.07220875471830368,-0.0748901292681694,0.0006333203054964542,5.874289035797119,-0.028823185712099075,0.03647400438785553
