frame_idx,sim_time,actor_id,type_id,x,y,z,vx,vy,vz,dist_to_ego
1,19.280803877860308,148,vehicle.audi.tt,234.51251220703125,-364.1571044921875,0.404380738735199,0.0,0.0,-1.3276110887527466,9.199677467346191
2,19.323238875716925,148,vehicle.audi.tt,234.51251220703125,-364.1571044921875,0.3374549448490143,0.0,0.0,-1.7434742450714111,9.200058937072754
3,19.36803937703371,148,vehicle.audi.tt,234.51251220703125,-364.1571044921875,0.2475130409002304,0.0,0.0,-2.1825194358825684,9.200551986694336
4,19.438883375376463,148,vehicle.audi.tt,234.51251220703125,-364.1571044921875,0.0652245283126831,0.0,0.0,-2.8767902851104736,9.19953727722168
5,19.474304378032684,148,vehicle.audi.tt,234.51251220703125,-364.1571044921875,-0.010602951049804688,4.888692228810498e-10,-2.517053587780538e-07,-1.674957513809204,9.199081420898438
6,19.523114375770092,148,vehicle.audi.tt,234.51251220703125,-364.1571044921875,-0.05857650563120842,3.2829596818828577e-09,-3.850833252272423e-08,-0.587201714515686,9.198986053466797
7,19.579010475426912,148,vehicle.audi.tt,234.51251220703125,-364.1571044921875,-0.07146017253398895,4.223562388716573e-09,2.644217715896957e-07,-0.04014462232589722,9.199012756347656
8,19.622556775808334,148,vehicle.audi.tt,234.51251220703125,-364.1571044921875,-0.06811748445034027,-9.839660641830505e-09,3.069936269639584e-07,0.13767778873443604,9.199027061462402
9,19.67332187667489,148,vehicle.audi.tt,234.51251220703125,-364.1571044921875,-0.0587788000702858,-1.0328649047153249e-08,1.996281469018868e-07,0.20429618656635284,9.196540832519531
10,19.741578977555037,148,vehicle.audi.tt,234.51251220703125,-364.1571044921875,-0.044956281781196594,2.2197013116453945e-09,1.3652855557211296e-07,0.19163638353347778,9.134552001953125
11,19.782109774649143,148,vehicle.audi.tt,234.51612854003906,-364.1571044921875,-0.03787177801132202,0.22738593816757202,-0.0012279580114409328,0.16507095098495483,9.068506240844727
12,19.819528978317976,148,vehicle.audi.tt,234.53419494628906,-364.15716552734375,-0.03243785724043846,0.6151329874992371,-0.0033046151511371136,0.1384882628917694,9.006322860717773
13,19.877375777810812,148,vehicle.audi.tt,234.58433532714844,-364.1575622558594,-0.025950279086828232,1.0199331045150757,-0.00601549306884408,0.10067630559206009,8.907748222351074
14,19.968389876186848,148,vehicle.audi.tt,234.6901092529297,-364.15826416015625,-0.01860664412379265,1.1813803911209106,-0.007462870329618454,0.0577305406332016,8.744048118591309
15,19.983609475195408,148,vehicle.audi.tt,234.7088623046875,-364.1584167480469,-0.017816733568906784,1.214495062828064,-0.007696980610489845,0.04920806735754013,8.716658592224121
16,20.043854378163815,148,vehicle.audi.tt,234.78456115722656,-364.1589660644531,-0.015405349433422089,1.295962929725647,-0.006838671397417784,0.03140837699174881,8.613906860351562
17,20.080617778003216,148,vehicle.audi.tt,234.83065795898438,-364.1591796875,-0.014383086934685707,1.300365924835205,-0.006426537875086069,0.023396853357553482,8.556289672851562
18,20.122773177921772,148,vehicle.audi.tt,234.88583374023438,-364.15948486328125,-0.013548125512897968,1.3349339962005615,-0.007105338387191296,0.0165348332375288,8.498336791992188
19,20.186968877911568,148,vehicle.audi.tt,234.99099731445312,-364.1599426269531,-0.012821654789149761,1.8045583963394165,-0.009711068123579025,0.010231933556497097,8.444489479064941
20,20.218746777623892,148,vehicle.audi.tt,235.05113220214844,-364.1600646972656,-0.012597770430147648,1.956367015838623,-0.0100191505625844,0.007911347784101963,8.431870460510254
21,20.274970676749945,148,vehicle.audi.tt,235.16632080078125,-364.16058349609375,-0.01227771770209074,2.0861716270446777,-0.012133657932281494,0.0053465841338038445,8.428285598754883
22,20.332232177257538,148,vehicle.audi.tt,235.30886840820312,-364.1615295410156,-0.01216354314237833,2.621408700942993,-0.014379431493580341,0.003457298269495368,8.484149932861328
23,20.37669987604022,148,vehicle.audi.tt,235.43212890625,-364.16204833984375,-0.01208446454256773,2.8218164443969727,-0.009976567700505257,0.0024412344209849834,8.593236923217773
24,20.421621676534414,148,vehicle.audi.tt,235.57159423828125,-364.16241455078125,-0.012055663391947746,3.1861393451690674,-0.01584682986140251,0.001707806601189077,8.732778549194336
25,20.486253477633,148,vehicle.audi.tt,235.78372192382812,-364.1632080078125,-0.01192676555365324,3.3196401596069336,-0.019272129982709885,0.0011082076234743,8.944770812988281
26,20.518509674817324,148,vehicle.audi.tt,235.89942932128906,-364.1639099121094,-0.01192501001060009,3.702216386795044,-0.021427493542432785,0.0008416318451054394,9.06038761138916
27,20.578201077878475,148,vehicle.audi.tt,236.12771606445312,-364.16534423828125,-0.011904029175639153,4.005439758300781,-0.021639401093125343,0.0005406522541306913,9.288540840148926
28,20.62857297807932,148,vehicle.audi.tt,236.3338623046875,-364.1663513183594,-0.01187644898891449,4.252800941467285,-0.021493036299943924,0.00038238524575717747,9.49458122253418
29,20.670889977365732,148,vehicle.audi.tt,236.51785278320312,-364.16741943359375,-0.011869658716022968,4.479946136474609,-0.022706229239702225,0.0002686071384232491,9.678513526916504
30,20.72966357693076,148,vehicle.audi.tt,236.79446411132812,-364.1688232421875,-0.011892546899616718,4.777010440826416,-0.023738088086247444,0.00018035888206213713,9.95505142211914
31,20.768407177180052,148,vehicle.audi.tt,236.9861602783203,-364.1697998046875,-0.011885452084243298,5.044938087463379,-0.02506658248603344,0.00012932777462992817,10.146735191345215
32,20.830631878226995,148,vehicle.audi.tt,237.32073974609375,-364.1715087890625,-0.011953772976994514,5.555907249450684,-0.03017297014594078,8.388519199797884e-05,10.481302261352539
33,20.868221774697304,148,vehicle.audi.tt,237.5350799560547,-364.1728515625,-0.01196849811822176,5.79742431640625,-0.031201809644699097,5.85174529987853e-05,10.69563102722168
34,20.928770676255226,148,vehicle.audi.tt,237.8977508544922,-364.174560546875,-0.01195247657597065,6.093128681182861,-0.02964879758656025,4.103660467080772e-05,11.05827522277832
35,20.96816987544298,148,vehicle.audi.tt,238.14218139648438,-364.17572021484375,-0.01191635150462389,6.261794090270996,-0.03244219720363617,3.109932004008442e-05,11.302693367004395
36,21.032565478235483,148,vehicle.audi.tt,238.55960083007812,-364.1779479980469,-0.011875418946146965,6.595032215118408,-0.03735644742846489,2.1162031771382317e-05,11.720102310180664
37,21.068286076188087,148,vehicle.audi.tt,238.79364013671875,-364.1792907714844,-0.011797561310231686,6.543313980102539,-0.035434551537036896,1.7108917745645158e-05,11.952847480773926
38,21.1268362775445,148,vehicle.audi.tt,239.17726135253906,-364.1813049316406,-0.011637382209300995,6.573358535766602,-0.034740667790174484,1.5382765923277475e-05,12.327792167663574
39,21.17680737748742,148,vehicle.audi.tt,239.52191162109375,-364.1831970214844,-0.011702346615493298,7.214968681335449,-0.03794610872864723,8.339881787833292e-06,12.654685974121094
40,21.22990047559142,148,vehicle.audi.tt,239.92596435546875,-364.185302734375,-0.01193031296133995,7.861697196960449,-0.04127217084169388,-1.8882750509874313e-06,13.026257514953613
41,21.28029777482152,148,vehicle.audi.tt,240.3364715576172,-364.18743896484375,-0.012075004167854786,8.338171005249023,-0.04245719313621521,-2.1982193629810354e-06,13.393495559692383
42,21.333596475422382,148,vehicle.audi.tt,240.79373168945312,-364.18988037109375,-0.012135429307818413,8.72873306274414,-0.04481678828597069,-1.7929077102962765e-06,13.789451599121094
43,21.3687445782125,148,vehicle.audi.tt,241.1042938232422,-364.1915588378906,-0.01211906410753727,8.895544052124023,-0.04563875496387482,-3.337860107421875e-06,14.050121307373047
44,21.419564478099346,148,vehicle.audi.tt,241.559326171875,-364.19390869140625,-0.0120117561891675,8.968390464782715,-0.04730388522148132,3.981589998147683e-06,14.419816970825195
45,21.472542576491833,148,vehicle.audi.tt,242.03077697753906,-364.196044921875,-0.011791953817009926,8.831148147583008,-0.030935948714613914,6.570815912709804e-06,14.785284042358398
46,21.536017075181007,148,vehicle.audi.tt,242.5793914794922,-364.19775390625,-0.011457481421530247,8.487115859985352,-0.017627255991101265,7.82012921263231e-06,15.186988830566406
47,21.567561276257038,148,vehicle.audi.tt,242.84390258789062,-364.1983947753906,-0.011303328908979893,8.301958084106445,-0.015632182359695435,3.4236907140439143e-06,15.36942195892334
48,21.622082974761724,148,vehicle.audi.tt,243.2869873046875,-364.1994323730469,-0.011070136912167072,8.008049964904785,-0.013914361596107483,2.3412703740177676e-06,15.655783653259277
49,21.67209967598319,148,vehicle.audi.tt,243.6796417236328,-364.2003479003906,-0.010922317393124104,7.785696983337402,-0.013332661241292953,1.997947720155935e-06,15.888891220092773
50,21.725235477089882,148,vehicle.audi.tt,244.0863494873047,-364.20123291015625,-0.010841293260455132,7.572102069854736,-0.013653721660375595,1.1968612625423702e-06,16.1103572845459
51,21.768007576465607,148,vehicle.audi.tt,244.4082794189453,-364.2020263671875,-0.010823249816894531,7.504112243652344,-0.016977420076727867,-5.054473604104714e-07,16.271474838256836
52,21.827914875000715,148,vehicle.audi.tt,244.8544921875,-364.2031555175781,-0.010850257240235806,7.450223922729492,-0.017925377935171127,2.9611587706313003e-06,16.475515365600586
53,21.880314774811268,148,vehicle.audi.tt,245.2447052001953,-364.2041015625,-0.010917816311120987,7.484724521636963,-0.017597302794456482,1.8692015828492003e-06,16.637592315673828
54,21.919686775654554,148,vehicle.audi.tt,245.5408172607422,-364.2048034667969,-0.010991324670612812,7.541121006011963,-0.017554568126797676,7.677078315282415e-07,16.752506256103516
55,21.98167747631669,148,vehicle.audi.tt,246.01597595214844,-364.2059020996094,-0.01112800557166338,7.752320289611816,-0.01789870671927929,1.23977656585339e-06,16.925233840942383
56,22.02105227485299,148,vehicle.audi.tt,246.3246307373047,-364.20660400390625,-0.011216506361961365,7.890857219696045,-0.018170064315199852,5.054473604104714e-07,17.03117561340332
57,22.073122777044773,148,vehicle.audi.tt,246.7445068359375,-364.2076110839844,-0.011343726888298988,8.176406860351562,-0.01879044435918331,9.441375254937157e-07,17.171083450317383
58,22.119966376572847,148,vehicle.audi.tt,247.13311767578125,-364.20855712890625,-0.011438827030360699,8.394192695617676,-0.019276143983006477,2.193450825416221e-07,17.300874710083008
59,22.171924278140068,148,vehicle.audi.tt,247.57337951660156,-364.20947265625,-0.01149219460785389,8.540855407714844,-0.019606251269578934,-4.1961669694501325e-07,17.447919845581055
60,22.23159557580948,148,vehicle.audi.tt,248.08624267578125,-364.2105712890625,-0.011488188989460468,8.606678009033203,-0.01975412108004093,-2.19345088225964e-06,17.610654830932617
61,22.269547674804926,148,vehicle.audi.tt,248.41319274902344,-364.2113342285156,-0.01144767738878727,8.605749130249023,-0.01975107379257679,-1.9359588350198464e-06,17.706279754638672
62,22.325210478156805,148,vehicle.audi.tt,248.8871612548828,-364.21234130859375,-0.011325988918542862,8.428536415100098,-0.019343949854373932,-1.7738342421580455e-06,17.82256317138672
63,22.373388174921274,148,vehicle.audi.tt,249.28868103027344,-364.21331787109375,-0.011197814717888832,8.252141952514648,-0.01893908903002739,-1.4162063735057018e-06,17.8999080657959
64,22.419772274792194,148,vehicle.audi.tt,249.66574096679688,-364.2121887207031,-0.011071357876062393,8.044279098510742,0.06817792356014252,-8.678435960973729e-07,17.951061248779297
65,22.470813177525997,148,vehicle.audi.tt,250.0718231201172,-364.20819091796875,-0.010974845848977566,7.892365455627441,0.12172649055719376,-1.3160705520931515e-06,17.985681533813477
66,22.523171976208687,148,vehicle.audi.tt,250.47958374023438,-364.2026062011719,-0.010910949669778347,7.710844039916992,0.14730243384838104,1.0204314548900584e-06,17.995943069458008
67,22.577100574970245,148,vehicle.audi.tt,250.89259338378906,-364.1958923339844,-0.01088718418031931,7.626827239990234,0.15854565799236298,-8.583068478174027e-08,17.98296546936035
68,22.622031677514315,148,vehicle.audi.tt,251.2324981689453,-364.1900939941406,-0.010889053344726562,7.526599407196045,0.15041117370128632,-1.4209747405402595e-06,17.956003189086914
